Rank,Title,Type,Premiere,Genre,Watchtime in Million
1089,Mine,TV Show,2021,Drama,19.7
1090,SPY x FAMILY,TV Show,2022,Animation,19.7
1091,The Croods: A New Age,Movie,2020,Animation,19.7
1092,Titans,TV Show,2018,Superhero,19.7
1093,Cloudy with a Chance of Meatballs 2,Movie,2013,Animation,19.6
1094,Forrest Gump,Movie,1994,Drama,19.6
1095,Fuller House,TV Show,2016,Comedy,19.6
1096,Jurassic World: Camp Cretaceous,TV Show,2020,Animation,19.6
1097,Naruto,TV Show,2002,Animation,19.6
1098,NCIS,TV Show,2003,Crime,19.6
1099,Next in Fashion,TV Show,2020,Reality-Show,19.6
1100,Sisyphus: The Myth,TV Show,2021,Science Fiction,19.5
1101,Spider-Man: Far from Home,Movie,2019,Superhero,19.5
1102,The Good Place,TV Show,2016,Comedy,19.5
1103,The Order,TV Show,2019,Fantasy,19.5
1104,Cleo & Cuquin,TV Show,2018,Animation,19.5
1105,Barbie: Dreamhouse Adventures,TV Show,2018,Animation,19.4
1106,Masha and the Bear,TV Show,2009,Animation,19.4
1107,Naruto Shippuden,TV Show,2007,Animation,19.4
1108,The Real Housewives of Beverly Hills,TV Show,2010,Reality-Show,19.4
1109,When the Weather is Fine,TV Show,2020,Drama,19.4
1110,Young Sheldon,TV Show,2017,Comedy,19.4
1111,Arrow,TV Show,2012,Superhero,19.3
1112,Bird Box,Movie,2018,Horror,19.3
1113,God's Crooked Lines,Movie,2022,Thriller,19.3
1114,Harry Potter and the Prisoner of Azkaban,Movie,2004,Fantasy,19.3
1115,Shaman King,TV Show,2021,Animation,19.3
1116,The Exchange,TV Show,2023,Drama,19.3
1117,Unauthorized Living,TV Show,2018,Drama,19.3
1118,Reply 1988,TV Show,2015,Comedy,19.2
1119,Central Intelligence,Movie,2016,Action,19.2
1120,Harry Potter and the Goblet of Fire,Movie,2005,Fantasy,19.1
1121,Miraculous: Tales of Ladybug & Cat Noir,TV Show,2015,Animation,19.1
1122,Shaun the Sheep: Adventures from Mossy Bottom,TV Show,2020,Animation,19.1
1123,The Hunger Games: Mockingjay - Part 1,Movie,2014,Science Fiction,19.1
1124,The Year I Started Masturbating,Movie,2022,Comedy,19.1
1125,Wrong Place,Movie,2022,Action,19.1
1126,A Tale Dark & Grimm,TV Show,2021,Animation,19
1127,Community,TV Show,2009,Comedy,19
1128,Oggy and the Cockroaches: Next Generation,TV Show,2022,Animation,19
1129,Sharkdog,TV Show,2021,Animation,19
1130,The Originals,TV Show,2013,Fantasy,19
1131,Travelers,TV Show,2016,Science Fiction,19
1132,Cinderella and Four Knights,TV Show,2016,Comedy,18.9
1133,Heartland,TV Show,2007,Drama,18.9
1134,Love Is Blind,TV Show,2020,Reality-Show,18.9
1135,NCIS,TV Show,2003,Crime,18.9
1136,The Next 365 Days,Movie,2022,Romance,18.9
1137,Baki Hanma,TV Show,2021,Animation,18.8
1138,Minions & More: Volume 1,Movie,2022,Animation,18.8
1139,Pokémon: Mewtwo Strikes Back Evolution,Movie,2019,Animation,18.8
1140,R.I.P.D.,Movie,2013,Science Fiction,18.8
1141,Ragnarok,TV Show,2020,Fantasy,18.8
1142,Ad Astra,Movie,2019,Science Fiction,18.7
1143,Daniel Spellbound,TV Show,2022,Animation,18.7
1144,Jumanji: Welcome to the Jungle,Movie,2017,Adventure,18.7
1145,Lupin,TV Show,2021,Crime,18.7
1146,Monster House,Movie,2006,Animation,18.7
1147,SpongeBob SquarePants,TV Show,1999,Animation,18.7
1148,The Haunting of Bly Manor,TV Show,2020,Horror,18.7
1149,The Rookie,TV Show,2018,Crime,18.7
1150,The Umbrella Academy,TV Show,2019,Superhero,18.7
1151,Emergency Declaration,Movie,2022,Action,18.6
1152,Dubai Bling,TV Show,2022,Reality-Show,18.6
1153,How It Ends,Movie,2018,Thriller,18.6
1154,Life,Movie,1999,Crime,18.6
1155,New Girl,TV Show,2011,Comedy,18.6
1156,Rhythm + Flow: France,TV Show,2022,Reality-Show,18.6
1157,The Raid 2,Movie,2014,Action,18.6
1158,This Is Where I Leave You,Movie,2014,Drama,18.6
1159,How to Train Your Dragon 2,Movie,2014,Animation,18.5
1160,Queen of the South,TV Show,2016,Drama,18.5
1161,The InBESTigators,TV Show,2019,Crime,18.5
1162,All the Places,Movie,2023,Adventure,18.4
1163,Move to Heaven,TV Show,2021,Drama,18.4
1164,Naruto,TV Show,2002,Animation,18.4
1165,NCIS,TV Show,2003,Crime,18.4
1166,She Would Never Know,TV Show,2021,Drama,18.4
1167,The Rain,TV Show,2018,Science Fiction,18.4
1168,Hunter x Hunter,TV Show,2011,Animation,18.3
1169,John Wick: Chapter Two,Movie,2017,Action,18.3
1170,"Nicky, Ricky, Dicky & Dawn",TV Show,2014,Comedy,18.3
1171,Queen of the South,TV Show,2016,Drama,18.3
1172,The Big 4,Movie,2022,Action,18.3
1173,The Dark Knight,Movie,2008,Superhero,18.3
1174,The Hangover Part III,Movie,2013,Comedy,18.3
1175,El padrino: The Latin Godfather,Movie,2004,Thriller,18.3
1176,What's Wrong with Secretary Kim,TV Show,2018,Drama,18.3
1177,Workin' Moms,TV Show,2017,Comedy,18.3
1178,2012,Movie,2009,Science Fiction,18.2
1179,The Baby-Sitters Club,TV Show,2020,Comedy,18.2
1180,Altered Carbon,TV Show,2018,Science Fiction,18.1
1181,Café Minamdang,TV Show,2022,Crime,18.1
1182,Cyberpunk: Edgerunners,TV Show,2022,Animation,18.1
1183,Dynasty,TV Show,2017,Drama,18.1
1184,Goosebumps,Movie,2015,Adventure,18.1
1185,How to Get Away with Murder,TV Show,2014,Crime,18.1
1186,Larva Family,TV Show,2023,Animation,18.1
1187,NCIS,TV Show,2003,Crime,18.1
1188,One Piece,TV Show,1999,Animation,18.1
1189,Toy Boy,TV Show,2019,Crime,18.1
1190,All American,TV Show,2018,Drama,18
1191,Go Dog Go,TV Show,2021,Animation,18
1192,Interceptor,Movie,2022,Action,18
1193,Once Again,TV Show,2020,Comedy,18
1194,Power Rangers,TV Show,1993,Action,18
1195,Blue Streak,Movie,1999,Crime,17.9
1196,Little Baby Bum: Nursery Rhyme Friends,TV Show,2017,Animation,17.9
1197,Naruto,TV Show,2002,Animation,17.9
1198,Queen of the South,TV Show,2016,Drama,17.9
1199,The Hangover Part II,Movie,2011,Comedy,17.9
1200,Transformers: Age of Extinction,Movie,2014,Science Fiction,17.9
1201,Brave Detectives,TV Show,2022,Crime,17.8
1202,Chainsaw Man,TV Show,2022,Animation,17.8
1203,Go! Live Your Way,TV Show,2019,Comedy,17.8
1204,Home Team,Movie,2022,Comedy,17.8
1205,In From the Cold,TV Show,2022,Drama,17.8
1206,The Mule,Movie,2018,Crime,17.8
1207,Titans,TV Show,2018,Superhero,17.8
1208,Trouble,Movie,2019,Animation,17.7
1209,13 Hours: The Secret Soldiers of Benghazi,Movie,2016,War,17.6
1210,Arrested Development,TV Show,2003,Comedy,17.6
1211,Black Summer,TV Show,2019,Horror,17.6
1212,Call Me Chihiro,Movie,2023,Drama,17.6
1213,Loving Adults,Movie,2022,Crime,17.6
1214,My Liberation Notes,TV Show,2022,Drama,17.6
1215,The Bourne Legacy,Movie,2012,Action,17.6
1216,Earthstorm,TV Show,2022,Documentary,17.5
1217,Family Reunion,TV Show,2019,Comedy,17.5
1218,LEGO Ninjago: Masters of Spinjitzu,TV Show,2012,Animation,17.5
1219,Masha's Spooky Stories,TV Show,2014,Animation,17.5
1220,NCIS,TV Show,2003,Crime,17.5
1221,Oddballs,TV Show,2022,Animation,17.5
1222,Ragnarok,TV Show,2020,Fantasy,17.5
1223,Valeria,TV Show,2020,Drama,17.5
1224,"Young, Famous & African",TV Show,2022,Reality-Show,17.5
1225,Daniel Spellbound,TV Show,2022,Animation,17.4
1226,Elite,TV Show,2018,Crime,17.4
1227,Gudetama: An Eggcellent Adventure,TV Show,2022,Animation,17.4
1228,Harry Potter and the Half-Blood Prince,Movie,2009,Fantasy,17.4
1229,How to Get Away with Murder,TV Show,2014,Crime,17.4
1230,Human Resources,TV Show,2022,Animation,17.4
1231,Inside Job,TV Show,2021,Animation,17.4
1232,Jurassic Park,Movie,1993,Science Fiction,17.4
1233,Love,TV Show,2016,Comedy,17.4
1234,Octonauts: Above & Beyond,TV Show,2021,Animation,17.4
1235,Pocoyo,TV Show,2005,Animation,17.4
1236,Secret Magic Control Agency,Movie,2021,Animation,17.4
1237,The Great Wall,Movie,2016,Adventure,17.4
1238,"Nicky, Ricky, Dicky & Dawn",TV Show,2014,Comedy,17.3
1239,Scoop,TV Show,2023,Crime,17.3
1240,The Hurricane Heist,Movie,2018,Drama,17.3
1241,Booba,TV Show,2014,Animation,17.3
1242,Diary of a Prosecutor,TV Show,2019,Drama,17.3
1243,Family Reunion,TV Show,2019,Comedy,17.3
1244,NCIS,TV Show,2003,Crime,17.2
1245,Survivor,TV Show,2000,Reality-Show,17.2
1246,The Twilight Saga: Breaking Dawn - Part 2,Movie,2012,Fantasy,17.2
1247,Burlesque,Movie,2010,Musical,17.1
1248,Deadly Sins,TV Show,2012,Documentary,17.1
1249,Fuller House,TV Show,2016,Comedy,17.1
1250,Gilmore Girls: A Year in the Life,TV Show,2016,Drama,17.1
1251,Heartland,TV Show,2007,Drama,17.1
1252,Supergirl,TV Show,2015,Superhero,17.1
1253,The Disastrous Life of Saiki K.,TV Show,2016,Animation,17.1
1254,Young Sheldon,TV Show,2017,Comedy,17.1
1255,How to Get Away with Murder,TV Show,2014,Crime,17
1256,One Piece,TV Show,1999,Animation,17
1257,Summer Strike,TV Show,2022,Drama,17
1258,The Worst Witch,TV Show,2017,Fantasy,17
1259,The Sinner,TV Show,2017,Crime,16.9
1260,How the Grinch Stole Christmas,Movie,2000,Fantasy,16.9
1261,A Series of Unfortunate Events,TV Show,2017,Comedy,16.9
1262,Chip and Potato,TV Show,2018,Animation,16.9
1263,How to Train Your Dragon,Movie,2010,Animation,16.9
1264,Howls Moving Castle,Movie,2004,Animation,16.9
1265,Knight and Day,Movie,2010,Action,16.9
1266,See You in My 19th Life,TV Show,2023,Comedy,16.9
1267,Superstore,TV Show,2015,Comedy,16.9
1268,The Mindy Project,TV Show,2012,Comedy,16.9
1269,Alone,TV Show,2015,Reality-Show,16.8
1270,Kate,Movie,2021,Action,16.8
1271,Marco Polo,TV Show,2014,History,16.8
1272,My Mister,TV Show,2018,Drama,16.8
1273,Not Quite Narwhal,Movie,2023,Animation,16.8
1274,Prison Playbook,TV Show,2017,Drama,16.8
1275,Re/Member,Movie,2022,Horror,16.8
1276,The Office,TV Show,2005,Comedy,16.8
1277,The Price of Family,Movie,2022,Comedy,16.8
1278,The Takedown,Movie,2022,Comedy,16.8
1279,The Good Place,TV Show,2016,Comedy,16.7
1280,The World of the Married,TV Show,2020,Drama,16.7
1281,BUNK'D,TV Show,2015,Comedy,16.7
1282,Enola Holmes,Movie,2020,Adventure,16.7
1283,Oddbods,TV Show,2015,Animation,16.7
1284,47 Meters Down: Uncaged,Movie,2019,Horror,16.6
1285,Asterix & Obelix: The Middle Kingdom,Movie,2023,Adventure,16.6
1286,Dance 100,TV Show,2023,Reality-Show,16.6
1287,My Holo Love,TV Show,2020,Drama,16.6
1288,Raising Dion,TV Show,2019,Drama,16.6
1289,The Glass Castle,Movie,2017,Drama,16.6
1290,The Vault,Movie,2021,Drama,16.6
1291,The Wonder,Movie,2022,Drama,16.6
1292,Workin' Moms,TV Show,2017,Comedy,16.6
1293,Lost Bullet 2,Movie,2022,Action,16.5
1294,Phenomena,Movie,2023,Horror,16.5
1295,Safe,TV Show,2018,Crime,16.5
1296,The Highwaymen,Movie,2019,Crime,16.5
1297,The Real Has Come!,TV Show,2023,Drama,16.5
1298,13 Reasons Why,TV Show,2017,Drama,16.5
1299,Baywatch,Movie,2017,Action,16.5
1300,Because This Is My First Life,TV Show,2017,Comedy,16.5
1301,Flushed Away,Movie,2006,Animation,16.5
1302,Glitch,TV Show,2022,Science Fiction,16.5
1303,Instant Family,Movie,2018,Comedy,16.5
1304,Kleo,TV Show,2022,Thriller,16.5
1305,Lesson Plan,Movie,2022,Crime,16.5
1306,Below Deck Sailing Yacht,TV Show,2020,Reality-Show,16.4
1307,BUNK'D,TV Show,2015,Comedy,16.4
1308,Chip and Potato,TV Show,2018,Animation,16.4
1309,Dynasty,TV Show,2017,Drama,16.4
1310,Good Witch,TV Show,2015,Comedy,16.4
1311,One-Punch Man,TV Show,2015,Animation,16.4
1312,The Invitation,Movie,2022,Horror,16.4
1313,the Road to love,TV Show,2019,Drama,16.4
1314,The Sinner,TV Show,2017,Crime,16.4
1315,A Dog's Purpose,Movie,2017,Drama,16.3
1316,Bumblebee,Movie,2018,Science Fiction,16.3
1317,Harry Potter and the Order of the Phoenix,Movie,2007,Fantasy,16.3
1318,Supernatural,TV Show,2005,Fantasy,16.3
1319,The Cuphead Show!,TV Show,2022,Animation,16.3
1320,The Cuphead Show!,TV Show,2022,Animation,16.3
1321,The Five Juanas,TV Show,2021,Drama,16.3
1322,The Thing,Movie,2011,Science Fiction,16.3
1323,21 Jump Street,Movie,2012,Action,16.2
1324,Bad Boys,Movie,1995,Action,16.2
1325,Blood Red Sky,Movie,2021,Horror,16.2
1326,Catch Me If You Can,Movie,2002,Crime,16.2
1327,Dinosaur King,TV Show,2007,Animation,16.2
1328,New Girl,TV Show,2011,Comedy,16.2
1329,Romance is a Bonus Book,TV Show,2019,Drama,16.2
1330,Spirit: Stallion of the Cimarron,Movie,2002,Animation,16.2
1331,The Good Place,TV Show,2016,Comedy,16.2
1332,The Guilty,Movie,2021,Crime,16.2
1333,Titans,TV Show,2018,Superhero,16.2
1334,Blindspot,TV Show,2015,Crime,16.1
1335,Falsa Identidad,TV Show,2018,Drama,16.1
1336,Grey's Anatomy,TV Show,2005,Drama,16.1
1337,iCarly,TV Show,2007,Comedy,16.1
1338,Look Both Ways,Movie,2022,Comedy,16.1
1339,Rabbids Invasion,TV Show,2013,Animation,16.1
1340,Represent,TV Show,2023,Comedy,16.1
1341,Battle Kitty,TV Show,2022,Animation,16
1342,Brown and Friends,TV Show,2022,Animation,16
1343,Dark Desire,TV Show,2020,Drama,16
1344,Dragons: Race to the Edge,TV Show,2015,Family,16
1345,Heartstopper,TV Show,2022,Drama,16
1346,Hotel Del Luna,TV Show,2019,Science Fiction,16
1347,Lost in Space,TV Show,2018,Science Fiction,16
1348,Scaredy Cats,TV Show,2021,Fantasy,16
1349,Spider-Man,Movie,2002,Superhero,16
1350,Supernatural,TV Show,2005,Fantasy,16
1351,Superstore,TV Show,2015,Comedy,16
1352,Arrow,TV Show,2012,Superhero,15.9
1353,Black Mirror,TV Show,2011,Science Fiction,15.9
1354,Scooby Doo! Mystery Incorporated,TV Show,2010,Animation,15.9
1355,Spider-Man 3,Movie,2007,Superhero,15.9
1356,Spirit Rangers,TV Show,2022,Animation,15.9
1357,Spirited Away,Movie,2001,Animation,15.9
1358,The Bureau of Magical Things,TV Show,2018,Fantasy,15.9
1359,The Ultimatum: Marry or Move On,TV Show,2022,Reality-Show,15.9
1360,Vatican Girl: The Disappearance of Emanuela Orlandi,TV Show,2022,Documentary,15.9
1361,WWII in Color: Road to Victory,TV Show,2021,Documentary,15.9
1362,Barbie: Mermaid Power,Movie,2022,Animation,15.8
1363,Cloudy with a Chance of Meatballs,Movie,2009,Animation,15.8
1364,Hell's Paradise,TV Show,2023,Animation,15.8
1365,Rise of Empires: Ottoman,TV Show,2020,History,15.8
1366,Wild Babies,TV Show,2022,Documentary,15.8
1367,Bake Squad,TV Show,2021,Reality-Show,15.7
1368,El Camino: A Breaking Bad Movie,Movie,2019,Crime,15.7
1369,If Only,TV Show,2022,Drama,15.7
1370,LEGO Ninjago: Secrets of the Forbidden Spinjitzu,TV Show,2019,Animation,15.7
1371,Polar,Movie,2019,Action,15.7
1372,Something in the Rain,TV Show,2018,Drama,15.7
1373,The Kissing Booth 3,Movie,2021,Comedy,15.7
1374,Top Boy,TV Show,2019,Crime,15.7
1375,An Action Hero,Movie,2022,Action,15.6
1376,Free Rein,TV Show,2017,Drama,15.6
1377,Mowgli: Legend of the Jungle,Movie,2018,Adventure,15.6
1378,To All the Boys: P.S. I Still Love You,Movie,2020,Romance,15.5
1379,Undercover Law,TV Show,2018,Drama,15.5
1380,Wu Assassins,TV Show,2019,Action,15.5
1381,Beyblade Burst Turbo,TV Show,2016,Animation,15.5
1382,Big Mouth,TV Show,2017,Animation,15.5
1383,Catching Killers,TV Show,2021,Documentary,15.5
1384,I Came By,Movie,2022,Crime,15.5
1385,My Hero Academia,TV Show,2016,Animation,15.5
1386,The Mist,TV Show,2017,Horror,15.5
1387,Love Island,TV Show,2019,Reality-Show,15.4
1388,Monster,TV Show,2004,Animation,15.4
1389,My Little Pony: A New Generation,Movie,2021,Animation,15.4
1390,On My Block,TV Show,2018,Comedy,15.4
1391,Riddick,Movie,2013,Science Fiction,15.4
1392,Bimilui Soop,TV Show,2017,Crime,15.4
1393,The Godfather,Movie,1972,Drama,15.4
1394,The Kingdom,Movie,2007,Action,15.4
1395,Abduction,Movie,2011,Action,15.3
1396,Disenchantment,TV Show,2018,Animation,15.3
1397,"Nicky, Ricky, Dicky & Dawn",TV Show,2014,Comedy,15.3
1398,Persuasion,Movie,2022,Drama,15.3
1399,The Lord of the Rings: The Fellowship of the Ring,Movie,2001,Fantasy,15.3
1400,The OA,TV Show,2016,Thriller,15.3
1401,Arcane,TV Show,2021,Animation,15.2
1402,Fuller House,TV Show,2016,Comedy,15.2
1403,Locke & Key,TV Show,2020,Superhero,15.2
1404,Riverdale,TV Show,2017,Superhero,15.2
1405,Superstore,TV Show,2015,Comedy,15.2
1406,The Son,Movie,2022,Drama,15.2
1407,Who Rules The World,TV Show,2022,Fantasy,15.2
1408,Young Sheldon,TV Show,2017,Comedy,15.2
1409,47 Ronin,Movie,2013,Fantasy,15.1
1410,Barbie: Dreamhouse Adventures,TV Show,2018,Animation,15.1
1411,Devotion,Movie,2022,War,15.1
1412,He's All That,Movie,2021,Comedy,15.1
1413,The Mummy,Movie,1999,Adventure,15.1
1414,365 Days : This Day,Movie,2022,Romance,15
1415,Falling Into Your Smile,TV Show,2021,Comedy,15
1416,Fury,Movie,2014,War,15
1417,JoJo's Bizarre Adventure,TV Show,2012,Animation,15
1418,Supernatural,TV Show,2005,Fantasy,15
1419,To the Lake,TV Show,2019,Science Fiction,15
1420,Transformers,Movie,2007,Science Fiction,15
1421,G.I. Joe: Retaliation,Movie,2013,Action,14.9
1422,H2O: Just Add Water,TV Show,2006,Drama,14.9
1423,Octonauts: Above & Beyond,TV Show,2021,Animation,14.9
1424,Our Great National Parks,TV Show,2022,Documentary,14.9
1425,The Boss Baby: Back in Business,TV Show,2018,Animation,14.9
1426,Storks,Movie,2016,Animation,14.8
1427,Below Deck,TV Show,2013,Reality-Show,14.7
1428,Clickbait,TV Show,2021,Crime,14.7
1429,Eat Pray Love,Movie,2010,Drama,14.7
1430,Gridiron Gang,Movie,2006,Crime,14.7
1431,Gumraah,Movie,2023,Crime,14.7
1432,Little Women,Movie,2019,Drama,14.7
1433,Love Alarm,TV Show,2019,Drama,14.7
1434,Resurrection: Ertugrul,TV Show,2014,Drama,14.7
1435,The Ranch,TV Show,2016,Comedy,14.7
1436,The Playlist,TV Show,2022,Drama,14.6
1437,Vortex,TV Show,2023,Crime,14.6
1438,Chilling Adventures of Sabrina,TV Show,2018,Fantasy,14.6
1439,John Wick: Chapter 3 – Parabellum,Movie,2019,Action,14.6
1440,Jungle Beat: The Movie,Movie,2020,Animation,14.6
1441,Love Never Lies: Poland,TV Show,2022,Reality-Show,14.6
1442,Rick and Morty,TV Show,2013,Animation,14.6
1443,Barbarians,TV Show,2020,History,14.5
1444,Gods of Egypt,Movie,2016,Adventure,14.5
1445,Malverde: The Patron Saint,TV Show,2021,Crime,14.5
1446,Rick and Morty,TV Show,2013,Animation,14.5
1447,Sins of Our Mother,TV Show,2022,Documentary,14.5
1448,The Cuphead Show!,TV Show,2022,Animation,14.5
1449,The Loud House Movie,Movie,2021,Animation,14.5
1450,The Takeover,Movie,2022,Crime,14.5
1451,To All the Boys: Always and Forever,Movie,2021,Romance,14.5
1452,Troy: Fall of a City,TV Show,2018,History,14.5
1453,The Willoughbys,Movie,2020,Animation,14.4
1454,Go! Live Your Way,TV Show,2019,Comedy,14.4
1455,Hatfields & McCoys,TV Show,2012,Western,14.4
1456,Lost in Space,TV Show,2018,Science Fiction,14.4
1457,Medieval,Movie,2022,History,14.4
1458,Outside the Wire,Movie,2021,Science Fiction,14.4
1459,Bake Off: The Professionals,TV Show,2018,Reality-Show,14.4
1460,The Legend of Korra,TV Show,2012,Fantasy,14.4
1461,The Originals,TV Show,2013,Fantasy,14.4
1462,Casados con Hijos,TV Show,2005,Comedy,14.3
1463,Khakee: The Bihar Chapter,TV Show,2022,Crime,14.3
1464,Little Man,Movie,2006,Comedy,14.3
1465,Mission: Impossible - Rogue Nation,Movie,2015,Action,14.3
1466,"Acero, Woman of Steel",TV Show,2014,Crime,14.3
1467,The Equalizer 2,Movie,2018,Action,14.3
1468,The Full-Time Wife Escapist,TV Show,2016,Comedy,14.3
1469,Awake,Movie,2021,Science Fiction,14.2
1470,Black Clover,TV Show,2017,Animation,14.2
1471,Girl from Nowhere,TV Show,2018,Drama,14.2
1472,Hanna,Movie,2011,Action,14.2
1473,Harry Potter and the Deathly Hallows: Part 1,Movie,2010,Fantasy,14.2
1474,Interstellar,Movie,2014,Science Fiction,14.2
1475,Loo Loo Kids Johny & Friends Musical Adventure,TV Show,2018,Animation,14.2
1476,Lupin,TV Show,2021,Crime,14.2
1477,Mission: Impossible - Ghost Protocol,Movie,2011,Action,14.2
1478,Romantic Killer,TV Show,2022,Animation,14.2
1479,The Smurfs,Movie,2011,Animation,14.2
1480,The Society,TV Show,2019,Science Fiction,14.2
1481,American Gangster,Movie,2007,Biography,14.1
1482,Barbarians,TV Show,2020,History,14.1
1483,DI4RI,TV Show,2022,Comedy,14.1
1484,Gladiator,Movie,2000,History,14.1
1485,InuYasha,TV Show,2000,Animation,14.1
1486,Maid in Manhattan,Movie,2002,Romance,14.1
1487,Rookie Historian Goo Hae-Ryung,TV Show,2019,History,14.1
1488,The Epic Tales of Captain Underpants,TV Show,2018,Animation,14.1
1489,The Twilight Saga: New Moon,Movie,2009,Fantasy,14.1
1490,The Unforgivable,Movie,2021,Drama,14.1
1491,Baby Driver,Movie,2017,Action,14
1492,Bright,Movie,2017,Fantasy,14
1493,Dragons: Race to the Edge,TV Show,2015,Family,14
1494,Elite,TV Show,2018,Crime,14
1495,Good Witch,TV Show,2015,Comedy,14
1496,Poong The Joseon Psychiatrist,TV Show,2022,Drama,14
1497,Shadowhunters,TV Show,2016,Horror,14
1498,The Chronicles of Riddick,Movie,2004,Science Fiction,14
1499,The Upshaws,TV Show,2021,Comedy,14
1500,G.I. Joe: The Rise of Cobra,Movie,2009,Action,13.9
1501,Ingobernable,TV Show,2017,Drama,13.9
1502,Insatiable,TV Show,2018,Drama,13.9
1503,Jack Reacher: Never Go Back,Movie,2016,Action,13.9
1504,Lookism,TV Show,2022,Animation,13.9
1505,Missing: The Other Side,TV Show,2020,Thriller,13.9
1506,Private Lesson,Movie,2022,Comedy,13.9
1507,The Flash,TV Show,2014,Superhero,13.9
1508,Top Secret UFO Projects: Declassified,TV Show,2021,Documentary,13.9
1509,Big Mouth,TV Show,2017,Animation,13.9
1510,Backstreet Rookie,TV Show,2020,Drama,13.8
1511,Clean with Passion for Now,TV Show,2018,Drama,13.8
1512,Dragons: Rescue Riders,TV Show,2019,Animation,13.8
1513,In the Dark,TV Show,2019,Comedy,13.8
1514,Love in the Villa,Movie,2022,Comedy,13.8
1515,Paradise PD,TV Show,2018,Animation,13.8
1516,Rainbow Ruby,TV Show,2016,Animation,13.8
1517,Rick and Morty,TV Show,2013,Animation,13.8
1518,Supernatural,TV Show,2005,Fantasy,13.8
1519,The Choice,Movie,2016,Romance,13.8
1520,The Great British Bake Off,TV Show,2010,Reality-Show,13.8
1521,Matt Wright's Wild Territory,TV Show,2022,Documentary,13.8
1522,Elite,TV Show,2018,Crime,13.7
1523,First Kill,TV Show,2022,Fantasy,13.7
1524,Formula 1: Drive to Survive,TV Show,2019,Documentary,13.7
1525,Grace and Frankie,TV Show,2015,Comedy,13.7
1526,One of Us Is Lying,TV Show,2021,Crime,13.7
1527,Patriots Day,Movie,2016,Drama,13.7
1528,The Dilemma,Movie,2011,Drama,13.7
1529,The Silence,Movie,2019,Horror,13.7
1530,The Volcano: Rescue from Whakaari,Movie,2022,Documentary,13.7
1531,Hunter x Hunter,TV Show,2011,Animation,13.6
1532,John Wick,Movie,2014,Action,13.6
1533,Lies and Deceit,TV Show,2020,Drama,13.6
1534,Love,TV Show,2016,Comedy,13.6
1535,Noise,Movie,2022,Drama,13.6
1536,One Spring Night,TV Show,2019,Drama,13.6
1537,The Equalizer,Movie,2014,Action,13.6
1538,The Forgotten Battle,Movie,2021,War,13.6
1539,The Platform,Movie,2020,Science Fiction,13.6
1540,Big Mouth,TV Show,2017,Animation,13.6
1541,BoJack Horseman,TV Show,2014,Animation,13.6
1542,Finding 'Ohana,Movie,2021,Adventure,13.6
1543,Formula 1: Drive to Survive,TV Show,2019,Documentary,13.6
1544,Get Out,Movie,2017,Horror,13.6
1545,Abby Hatcher,TV Show,2018,Animation,13.5
1546,Arrow,TV Show,2012,Superhero,13.5
1547,Baki,TV Show,2018,Animation,13.5
1548,The American Barbecue Showdown,TV Show,2020,Reality-Show,13.5
1549,Glow Up: Britain's Next Make-Up Star,TV Show,2019,Reality-Show,13.5
1550,House of Cards,TV Show,2013,Drama,13.5
1551,At Eighteen,TV Show,2019,Drama,13.5
1552,Once Upon a Small Town,TV Show,2022,Comedy,13.5
1553,Pets United,Movie,2019,Animation,13.5
1554,Phantom Pups,TV Show,2022,Animation,13.5
1555,Pixels,Movie,2015,Science Fiction,13.5
1556,SAS: Red Notice,Movie,2021,Action,13.5
1557,Stay Close,TV Show,2021,Drama,13.5
1558,The Order,TV Show,2019,Fantasy,13.5
1559,Too Hot to Handle,TV Show,2020,Reality-Show,13.5
1560,What/If,TV Show,2019,Drama,13.5
1561,Grace and Frankie,TV Show,2015,Comedy,13.4
1562,Her Private Life,TV Show,2019,Comedy,13.4
1563,Kuroko's Basketball,TV Show,2012,Animation,13.4
1564,The Hunt,TV Show,2019,Drama,13.4
1565,Rick and Morty,TV Show,2013,Animation,13.4
1566,Single’s Inferno,TV Show,2021,Reality-Show,13.4
1567,Supernatural,TV Show,2005,Fantasy,13.4
1568,Superstore,TV Show,2015,Comedy,13.4
1569,Survivor,TV Show,2000,Reality-Show,13.4
1570,100 Dias Para Enamorarnos,TV Show,2020,Comedy,13.4
1571,"Boo, Bitch",TV Show,2022,Comedy,13.4
1572,Captain Underpants: The First Epic Movie,Movie,2017,Animation,13.4
1573,V Wars,TV Show,2019,Science Fiction,13.3
1574,Action Pack,TV Show,2022,Animation,13.3
1575,Baki Hanma,TV Show,2021,Animation,13.3
1576,Barbie: Dreamhouse Adventures,TV Show,2018,Animation,13.3
1577,Blindspot,TV Show,2015,Crime,13.3
1578,Brawl in Cell Block 99,Movie,2017,Thriller,13.3
1579,Dr. Seuss' The Cat in the Hat,Movie,2003,Fantasy,13.3
1580,Galinha Pintadinha Mini,TV Show,2017,Animation,13.3
1581,Gecko's Garage 3D,TV Show,2020,,13.3
1582,"Kiss, Kiss!",Movie,2023,Comedy,13.3
1583,Madagascar: Escape 2 Africa,Movie,2008,Animation,13.3
1584,Perfume: The Story of a Murderer,Movie,2006,Drama,13.3
1585,Sin senos sí hay paraíso,TV Show,2016,Crime,13.3
